id;qtdCommitContributions;qtdIssueContributions;qtdPullRequestContributions;qtdPullRequestReviewContributions;qtdRepositoriesWithContributedCommits;qtdRepositoriesWithContributedIssues;qtdRepositoriesWithContributedPullRequestReviews;qtdRepositoryContributions;qtdRepositoriesWithContributedPullRequests;qtdissue;qtdIssueClosed;qtdIssueOpen;QTdtoalComentsIssue;avgIssueComment;QtdIssueReaction;qtdIssueReactionHeatr;issueReactionthumbsUP;qtsIssueReactionHooray;qtdRepository;qtdTotalStars;avgQtdSTartRepository;QtdtotalWatchers;avgQtdWatchersRepository;qtdRepositoryLanguages;qtdPullRequests;qtdPullRequestsmergedAndClosed;qtdpullrequestsclosedandnotmerged;qtdpullrequestnotmergedandopen;sum(ncloc);avg(ncloc);avg(qtdBugs);sum(qtdBugs);sum(qtdCodeSmells);avg(qtdCodeSmells);avg(reliabilityRating);sum(qtdDuplicatedFiles);avg(qtdDuplicatedFiles);sum(commentLinesDensity);avg(commentLinesDensity);sum(fileComplexity);avg(fileComplexity);sum(qtdViolation);avg(manutenibilityRating);avg(securityRating);qtdFollowers;Expertise
1566;369;93;98;83;7;8;9;10;11;100;72;28;321;3.21;12;1;11;0;55;52940;963;2055;37.3636;152;909;625;246;38;1002;1002;0;0;51;51;1;0;0;28.20000076;28.20000076;11.39999962;11.39999962;51;1;1;2993;1
1730;258;0;1;1;5;0;1;3;1;76;67;9;243;3.1974;38;0;37;0;82;1843;22;140;1.7073;347;29;25;2;2;1263;1263;7;7;13;13;2;0;0;13.60000038;13.60000038;7.699999809;7.699999809;20;1;1;423;2
1755;55;0;0;0;7;0;0;3;0;5;5;0;7;1.4;0;0;0;0;27;1132;42;85;3.1481;48;43;28;6;9;14205;14205;494;494;33;33;3;70;70;0.600000024;0.600000024;1.200000048;1.200000048;527;1;1;126;3
1834;1341;4;250;37;30;3;8;22;22;37;29;8;132;3.5676;39;0;37;0;100;17589;176;454;4.54;239;2048;1428;529;91;64990;64990;3;3;687;687;3;112;112;9.800000191;9.800000191;13.19999981;13.19999981;690;1;1;347;3
1991;101;0;1;1;8;0;1;1;1;77;8;69;78;1.013;15;0;13;0;25;2424;97;128;5.12;61;87;46;24;17;175512;175512;2892;2892;819;819;4;483;483;1;1;2.099999905;2.099999905;3711;1;1;778;4
2046;159;15;9;1;7;2;1;7;2;15;10;5;1;0.0667;1;0;0;0;26;441;17;77;2.9615;51;76;27;35;14;10014;10014;12;12;232;232;5;3;3;10.10000038;10.10000038;50.20000076;50.20000076;244;1;1;41;5
2254;289;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;11;221;20;6;0.5455;34;1;0;1;0;6495;6495;11;11;243;243;4;13;13;21.20000076;21.20000076;19.29999924;19.29999924;254;1;1;43;4
2674;296;0;1;0;17;0;0;9;1;88;35;53;8;0.0909;0;0;0;0;83;1431;17;80;0.9639;136;6;1;5;0;472;472;0;0;10;10;1;0;0;4.5;4.5;12;12;10;1;1;57;1
2848;0;0;0;0;0;0;0;0;0;44;36;8;77;1.75;32;0;32;0;8;5029;629;126;15.75;10;124;97;27;0;470;470;2;2;1;1;3;0;0;32.20000076;32.20000076;1;1;3;1;1;868;3
3056;0;0;0;2;0;0;1;9;0;7;6;1;7;1;2;0;2;0;54;3936;73;232;4.2963;143;22;14;4;4;584;584;8;8;13;13;4;0;0;20.79999924;20.79999924;1;1;21;1;1;318;4
